query_kind,query_exam_id,query_id,query_topic_id,query_file,query_line,query_usage,query_subject,query_summary,peer_kind,peer_exam_id,peer_id,peer_file,peer_line,peer_note,compared_field,tier,reason,same_exam,exact_stem,containment,jaccard_stem_keep,jaccard_stem_drop,jaccard_combo_keep,jaccard_combo_drop,tfidf_keep,tfidf_drop,seq_keep,seq_drop,lcs_len,lcs_ratio,expl_seq,gram_containment,choice_hits,choice_ratio,correct_index_same,number_match,shared_numbers,distinctive_shared_numbers,title_jaccard,calc_jaccard,alt_jaccard
multiple_choice,diver,68095589-d2f8-4f01-977c-ce477d25dd8b,,supabase/migrations/20260904093530_diver_original_questions.sql,814,in_use,関係法令,空気圧縮機で送気する潜水で、予備空気槽を設けないことができる場合として…,multiple_choice,diver,0f602acb-cc9f-407a-b2eb-716acd6e597b,supabase/migrations/20260903120000_diver_2025_10_questions.sql,702,公益財団法人安全衛生技術試験協会 令和7年10月公表 潜水士試験 問31,stem+choices,MEDIUM,noticeable_overlap+some_choices,True,False,False,0.0702,0.0702,0.2357,0.2348,0.6678,0.6674,0.4308,0.4308,14,0.4118,0.0,0.2258,1,0.2,False,none,,,0.0,0.0,0.0
learn_example,pressure_chamber,pc-airlock-standards,pc-airlock-standards,src/lib/data/learn/pressure-chamber-topics.ts,401,in_use,関係法令,気こう室の設備基準,multiple_choice,pressure_chamber,3e2de051-7563-4f2b-b53b-d431c0eb5e60,supabase/migrations/20260904120000_pressure_chamber_2025_10_questions.sql,699,公益財団法人安全衛生技術試験協会 令和7年10月公表 高圧室内作業主任者試験 問31,learn_fields,MEDIUM,noticeable_overlap+distinctive_numbers,True,False,False,0.015,0.0161,0.2416,0.2431,0.5693,0.5646,0.0444,0.0407,7,0.0238,0.0,0.2904,0,0.0,False,subset,1|2|3|53|0.1|0.3|0.6,0.6|53,0.04,0.1379,0.0415
multiple_choice,cargo_gear,27d942e3-03ea-40b1-9bcc-9a38c64ae299,,supabase/migrations/20260904093533_cargo_gear_original_questions.sql,436,in_use,関係法令,港湾荷役で玉掛けに用いる用具のうち、法令上まだ使用できるものはどれか。,multiple_choice,mobile_crane,af6e94bb-9a97-45bd-8a15-3fcf7080265f,supabase/migrations/20260902140000_mobile_crane_2026_04_questions.sql,557,公益財団法人安全衛生技術試験協会 令和8年4月公表 移動式クレーン運転士試験 問27,stem+choices,LOW,statutory_or_formula_numbers,False,False,False,0.1207,0.1186,0.1273,0.1402,0.3549,0.3983,0.4638,0.4571,16,0.4103,0.0,0.1852,1,0.2,False,partial,6,,0.0,0.0,0.0
learn_example,cargo_gear,cg-derrick-gooseneck,cg-derrick-gooseneck,src/lib/data/learn/cargo-gear-topics.ts,180,in_use,揚貨装置に関する知識,デリック型式の構造,multiple_choice,cargo_gear,f26f4908-fa82-4d0a-b19a-5ad616f20e6e,supabase/migrations/20260904130000_cargo_gear_2025_10_questions.sql,258,公益財団法人安全衛生技術試験協会 令和7年10月公表 揚貨装置運転士試験 問10,learn_fields,LOW,shared_topic_vocabulary,True,False,False,0.02,0.0198,0.1323,0.1367,0.5781,0.5787,0.09,0.0895,14,0.0504,0.0,0.1694,0,0.0,False,full,1,,0.1875,0.0,0.0509
learn_example,cargo_gear,cg-fittings-shackle-rope,cg-fittings-shackle-rope,src/lib/data/learn/cargo-gear-topics.ts,131,in_use,揚貨装置に関する知識,揚貨装具(シャックル・ロープ),multiple_choice,cargo_gear,5df16995-8bd7-4760-b95a-ceeaedebe494,supabase/migrations/20260904130100_cargo_gear_2026_04_questions.sql,174,公益財団法人安全衛生技術試験協会 令和8年4月公表 揚貨装置運転士試験 問6,learn_fields,LOW,terminology_or_boilerplate,True,False,False,0.0,0.0,0.1298,0.1298,0.4323,0.4292,0.0461,0.0461,7,0.0249,0.0,0.1767,0,0.0,False,full,120,,0.0714,0.0,0.0
learn_example,cargo_gear,cg-handling-rules,cg-handling-rules,src/lib/data/learn/cargo-gear-topics.ts,294,in_use,関係法令,揚貨装置の取扱い,multiple_choice,cargo_gear,54beab1a-aba2-4d57-98be-ded17f2311e5,supabase/migrations/20260904130100_cargo_gear_2026_04_questions.sql,447,公益財団法人安全衛生技術試験協会 令和8年4月公表 揚貨装置運転士試験 問19,learn_fields,LOW,terminology_or_boilerplate,True,False,False,0.1412,0.1409,0.1488,0.1485,0.3775,0.3775,0.2837,0.2832,82,0.2087,0.0,0.2418,0,0.0,False,none,,,0.0187,0.0,0.0
learn_example,cargo_gear,cg-harbor-hazard-prevention,cg-harbor-hazard-prevention,src/lib/data/learn/cargo-gear-topics.ts,220,in_use,関係法令,港湾荷役作業の危険防止措置,multiple_choice,cargo_gear,d583cb66-8066-433d-a3cb-5baae500a5a4,supabase/migrations/20260904130100_cargo_gear_2026_04_questions.sql,300,公益財団法人安全衛生技術試験協会 令和8年4月公表 揚貨装置運転士試験 問12,learn_fields,LOW,terminology_or_boilerplate,True,False,False,0.1369,0.1367,0.1399,0.1398,0.3715,0.3715,0.2776,0.2774,152,0.2265,0.0,0.1936,0,0.0,False,none,,,0.0169,0.0,0.0
learn_example,cargo_gear,cg-license-card,cg-license-card,src/lib/data/learn/cargo-gear-topics.ts,305,in_use,関係法令,免許・免許証の取扱い,multiple_choice,crane_all,e4aecf6c-56b1-47db-b5c2-b1773a5046f5,supabase/migrations/20260901120100_crane_all_past_exam_questions.sql,287,公益財団法人安全衛生技術試験協会 令和7年10月公表 クレーン・デリック運転士（限定なし）試験 問11,learn_fields,LOW,shared_topic_vocabulary,False,False,False,0.1663,0.1709,0.1647,0.169,0.4996,0.5017,0.0581,0.0572,20,0.0481,0.0,0.2614,0,0.0,False,subset,1|5|30,,0.0065,0.0,0.0
learn_example,cargo_gear,cg-motor-accessories,cg-motor-accessories,src/lib/data/learn/cargo-gear-topics.ts,418,in_use,原動機及び電気に関する知識,電動機の付属機器,multiple_choice,cargo_gear,d293e00b-8ec0-4b9f-ad81-d1620682fc07,supabase/migrations/20260904130100_cargo_gear_2026_04_questions.sql,657,公益財団法人安全衛生技術試験協会 令和8年4月公表 揚貨装置運転士試験 問29,learn_fields,LOW,shared_topic_vocabulary,True,False,False,0.1425,0.1413,0.1487,0.1476,0.5689,0.5664,0.186,0.1833,45,0.1568,0.0,0.2181,0,0.0,False,none,,,0.024,0.0,0.0
learn_example,cargo_gear,cg-operation-signals,cg-operation-signals,src/lib/data/learn/cargo-gear-topics.ts,283,in_use,関係法令,運転の合図,multiple_choice,cargo_gear,3ded16ce-1076-4b65-a925-5e18231d09e5,supabase/migrations/20260904130000_cargo_gear_2025_10_questions.sql,426,公益財団法人安全衛生技術試験協会 令和7年10月公表 揚貨装置運転士試験 問18,learn_fields,LOW,terminology_or_boilerplate,True,False,False,0.1418,0.1436,0.1364,0.1381,0.4125,0.4125,0.1095,0.109,34,0.0789,0.0,0.2283,0,0.0,False,none,,,0.0036,0.0,0.0
