query_id,query_kind,query_exam_id,query_file,query_line,usage,peer_id,peer_file,peer_line,peer_note,classification,jaccard_stem,jaccard_combo,tfidf,seq,choice_hits,number_match,reason,judge_stem,judge_scene,judge_numbers,judge_choices,judge_correct_pos,judge_distractor,judge_explanation,statutory_or_general,fix_needed,fix_applied,rationale
generated:0009_original_questions_batch1.sql:154,択一,hygiene,supabase/migrations/0009_original_questions_batch1.sql,80,unused,eeb35d8e-ea2f-4a99-86b1-68a249063a54,supabase/migrations/20260904120000_pressure_chamber_2025_10_questions.sql,867,公益財団法人安全衛生技術試験協会 令和7年10月公表 高圧室内作業主任者試験 問39,KEEP_STATUTORY,0.0678,0.1758,0.4391,0.3478,0,subset,terminology_or_boilerplate,弱,なし,法定(3か月),不一致,不一致,不一致,弱,statutory,no,no,未使用の0009基礎問題。異常所見後の医師意見聴取期限は安衛法の法定手続。比較先は別試験の高気圧健診誤文選択で、場面・選択肢・正解位置は一致しない。
c50d6f57-3b80-4402-ba57-d949664bb3ef,択一,boiler2,supabase/migrations/20260904074925_boiler2_original_questions.sql,1073,in_use,cb205782-d09a-4016-b49c-0c7475f2d679,supabase/migrations/20260831100000_boiler2_past_exam_questions.sql,855,公益財団法人安全衛生技術試験協会 令和7年10月公表 二級ボイラー技士試験 問39,KEEP_STATUTORY,0.1915,0.2199,0.4091,0.459,0,none,short_topic_header,中,弱,なし,1肢が近接,不一致,一部近接,弱,statutory,yes,yes,貫流ボイラーの水位・燃焼連動はボイラー則の安全装置要件。正解肢をインターロック表現に差し替えたあと、残る一致は『水位喪失時に燃焼を止める』という法定機能だけ。正答は1番目のインターロック肢。他4肢は連動禁止・水面計義務の取り違え・手動給水のみ・送風機停止後の燃料継続でいずれも誤り。
27b9983d-39ad-4bd0-a3a2-b781259dd26f,択一,hygiene,supabase/migrations/20260904081327_hygiene_original_questions.sql,27,in_use,52135ad2-f09d-4a4b-a2dc-031c4859d4a6,supabase/migrations/0004_past_exam_questions.sql,1799,公益財団法人安全衛生技術試験協会 令和8年4月公表 第二種衛生管理者試験 問1,KEEP_STATUTORY,0.0727,0.1612,0.5673,0.3385,0,partial,short_topic_header,弱,なし,法定(50人),語彙のみ,一致は偶然,不一致,弱,statutory,no,no,衛生管理者の選任閾値50人は安衛法・安衛則の固定値。比較先は衛生管理体制の複合誤文で、場面も問う量も異なる。
abe36b46-fe95-4b50-9c7e-ae741d84eb1a,択一,hygiene,supabase/migrations/20260904081327_hygiene_original_questions.sql,135,in_use,a3b53f66-c155-479f-a0e9-c77dab0729a1,supabase/migrations/0004_past_exam_questions.sql,1455,公益財団法人安全衛生技術試験協会 令和7年10月公表 第一種衛生管理者試験 問27,KEEP_STATUTORY,0.1486,0.1609,0.4337,0.2951,0,partial,terminology_or_boilerplate,弱,なし,法定(6か月/8割/10日),日数語彙,不一致,不一致,弱,statutory,no,no,通常労働者の初回年休10日は労基法39条。比較先は比例付与の別労働者設定。8割出勤は条文文言。
a6c26069-5acb-4c53-bb2f-ff1f8a5d8b23,択一,hygiene,supabase/migrations/20260904081327_hygiene_original_questions.sql,1138,in_use,bf861a77-76db-4c50-893e-0d6cbad25924,supabase/migrations/0004_past_exam_questions.sql,788,公益財団法人安全衛生技術試験協会 令和8年4月公表 第一種衛生管理者試験 問37,KEEP_GENERAL,0.25,0.1414,0.3448,0.5714,0,none,short_topic_header,弱,なし,なし,1肢が教科書定義,一致は偶然,不一致,弱,general,no,no,中枢神経＝脳と脊髄は教科書定義。比較先は誤文選択で、正解肢以外の命題集合は一致しない。
c854107e-b713-48e1-8d2a-a05b9493508f,択一,hygiene,supabase/migrations/20260904083023_hygiene_type1_exclusive_questions.sql,10,in_use,52135ad2-f09d-4a4b-a2dc-031c4859d4a6,supabase/migrations/0004_past_exam_questions.sql,1799,公益財団法人安全衛生技術試験協会 令和8年4月公表 第二種衛生管理者試験 問1,KEEP_STATUTORY,0.1296,0.2168,0.5803,0.3881,0,subset,short_topic_header,弱,なし,法定(1000人超),語彙のみ,一致は偶然,不一致,弱,statutory,no,no,専任衛生管理者の1000人超は安衛則7条。比較先は900人+深夜業の別場面。
d518d98f-ecee-4ddd-8cbc-751619195131,択一,hygiene,supabase/migrations/20260904083023_hygiene_type1_exclusive_questions.sql,37,in_use,52135ad2-f09d-4a4b-a2dc-031c4859d4a6,supabase/migrations/0004_past_exam_questions.sql,1799,公益財団法人安全衛生技術試験協会 令和8年4月公表 第二種衛生管理者試験 問1,KEEP_STATUTORY,0.0345,0.2009,0.53,0.2727,0,partial,short_topic_header,弱,なし,法定(1000人),語彙のみ,一致は偶然,不一致,弱,statutory,no,no,専属産業医の1000人は安衛則13条。比較先は衛生管理体制の複合問で、専属産業医は一肢に過ぎない。
5e25a8b0-fb5f-4598-b387-05740efc2355,択一,hygiene,supabase/migrations/20260904083023_hygiene_type1_exclusive_questions.sql,199,in_use,379fbb75-d883-4708-9f08-8704a7a1a6e6,supabase/migrations/0004_past_exam_questions.sql,711,公益財団法人安全衛生技術試験協会 令和8年4月公表 第一種衛生管理者試験 問33,KEEP_GENERAL,0.1366,0.1224,0.3412,0.3,0,partial,terminology_or_boilerplate,中,弱,教科書(0.018),不一致(量の単位が違う),不一致,不一致,逆算,general,no,no,必要換気量の公式と呼出CO2 0.018 m³/hは教科書値。問う量は1人換気量で、比較先は在室人数。手順は逆向き。
014ffd9f-fb00-408a-a9db-df3dac32ef84,択一,crane_all,supabase/migrations/20260904090843_crane_all_original_questions.sql,436,in_use,957e7fc0-6300-4e88-b580-0db230b757fc,supabase/migrations/20260901120100_crane_all_past_exam_questions.sql,1328,公益財団法人安全衛生技術試験協会 令和8年4月公表 クレーン・デリック運転士（限定なし）試験 問19,KEEP_STATUTORY,0.2162,0.1538,0.2933,0.5306,0,none,short_topic_header,弱,なし,法定(5t),不一致,不一致,不一致,弱,statutory,no,no,跨線テルハの特別教育はクレーン則の就業制限。比較先はデリック運転・玉掛けの別機械。
038921ae-12ff-4a86-a82b-42dcec2c5718,択一,crane_all,supabase/migrations/20260904090843_crane_all_original_questions.sql,463,in_use,75bb0c07-4a24-49b2-95cf-429a5c817af8,supabase/migrations/20260902140000_mobile_crane_2026_04_questions.sql,578,公益財団法人安全衛生技術試験協会 令和8年4月公表 移動式クレーン運転士試験 問28,KEEP_STATUTORY,0.5909,0.1367,0.4118,0.8718,0,full,short_topic_header,短題で中,なし,法定(1年/1月),不一致,不一致,不一致,弱,statutory,no,no,年次・月次の自主検査周期はクレーン則。比較先は移動式の点検項目・記録年限の複合問。
